face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.479687;0.217912;0.266527;0.486526;0.28157;0.452993;0.292289;0.427884;0.301644;0.407274;0.31011;0.38561;0.293164;0.417313;0.304212;0.391404;0.309821;0.366647;0.312769;0.342698;0.290882;0.420857;0.30161;0.392589;0.307727;0.366725;0.312392;0.34138;0.288806;0.425144;0.299074;0.396399;0.30596;0.374257;0.310597;0.355835;0.287169;0.431681;0.294238;0.410357;0.299478;0.395351;0.30355;0.383915;0.288568;0.430948;0.288695;0.399554;0.294172;0.37616;0.295856;0.356027;0.297132;0.338706;0.307502;0.344323;0.32168;0.306942;0.330995;0.28125;0.339071;0.260342;0.308505;0.3495;0.326618;0.308441;0.339694;0.279407;0.350036;0.253182;0.310017;0.359799;0.329666;0.324258;0.344999;0.298354;0.356079;0.276192;0.312094;0.374027;0.326862;0.346523;0.337084;0.327387;0.345283;0.311047
0.480111;0.217461;0.272108;0.476302;0.282535;0.453803;0.290875;0.434496;0.298588;0.421254;0.306513;0.408098;0.28755;0.414267;0.298415;0.389499;0.304495;0.368912;0.3077;0.35045;0.291019;0.414714;0.302076;0.387567;0.309346;0.36521;0.315087;0.342356;0.295193;0.416336;0.307524;0.388509;0.315274;0.368811;0.320621;0.350958;0.30006;0.421031;0.308704;0.398494;0.313289;0.383561;0.316725;0.370399;0.29389;0.423359;0.295405;0.392398;0.300915;0.368979;0.303347;0.349619;0.306065;0.335145;0.312925;0.340877;0.327078;0.30361;0.33745;0.279036;0.346431;0.259624;0.313843;0.346246;0.332415;0.304376;0.346551;0.276014;0.357369;0.252074;0.315333;0.356158;0.334583;0.320622;0.350361;0.295337;0.361581;0.274609;0.317275;0.36969;0.331365;0.342715;0.341533;0.324183;0.350011;0.308385
0.480114;0.217275;0.276877;0.465771;0.291049;0.447903;0.299766;0.42869;0.306817;0.413876;0.313725;0.399523;0.296268;0.409907;0.306806;0.387811;0.313309;0.368826;0.317944;0.350383;0.295738;0.410304;0.306485;0.386944;0.313557;0.366845;0.319142;0.34535;0.296076;0.412067;0.30771;0.388706;0.314713;0.372386;0.318964;0.356834;0.296618;0.416258;0.304717;0.399265;0.309567;0.387961;0.312381;0.378213;0.299445;0.419218;0.299872;0.389733;0.305344;0.367568;0.3086;0.350089;0.312518;0.337675;0.319837;0.340465;0.333853;0.305196;0.343371;0.282133;0.351722;0.263112;0.320752;0.345127;0.33939;0.304935;0.352511;0.27748;0.362925;0.253985;0.321918;0.354008;0.3414;0.319486;0.35668;0.294577;0.368117;0.274598;0.323708;0.366438;0.339095;0.340016;0.349171;0.322229;0.357193;0.307773
0.481004;0.212865;0.280792;0.45689;0.286596;0.439541;0.295075;0.425263;0.305088;0.41678;0.315457;0.411899;0.292365;0.409174;0.30322;0.38977;0.310622;0.372337;0.315245;0.35483;0.296537;0.410718;0.307356;0.39325;0.315176;0.377987;0.320933;0.360966;0.300803;0.415657;0.314893;0.398288;0.323629;0.389442;0.328765;0.380584;0.305042;0.421737;0.315423;0.409296;0.321071;0.40378;0.323738;0.398967;0.305307;0.415029;0.305297;0.38798;0.309454;0.368129;0.312287;0.353125;0.315506;0.342284;0.325588;0.340232;0.340824;0.308471;0.350308;0.28702;0.358773;0.26905;0.326742;0.344669;0.3458;0.30823;0.358441;0.28276;0.368623;0.260211;0.328171;0.353651;0.34825;0.321139;0.363363;0.298182;0.374692;0.280097;0.329915;0.366068;0.345739;0.341971;0.357336;0.325551;0.367304;0.312119
0.480221;0.214768;0.286534;0.449969;0.286662;0.437909;0.29255;0.425239;0.300348;0.417544;0.307318;0.411576;0.293628;0.412326;0.303404;0.392653;0.309921;0.378419;0.315215;0.365164;0.2989;0.414183;0.310146;0.393144;0.317676;0.379517;0.323886;0.365756;0.304497;0.418214;0.31523;0.397995;0.322698;0.385525;0.328339;0.374381;0.310235;0.423963;0.319677;0.408599;0.325196;0.399114;0.32867;0.391419;0.31382;0.413917;0.313459;0.385744;0.318387;0.365589;0.321819;0.350534;0.325761;0.340561;0.333617;0.342174;0.349685;0.313057;0.358956;0.294086;0.366369;0.279095;0.334375;0.347748;0.354018;0.314561;0.367358;0.291939;0.37842;0.272067;0.335401;0.357323;0.355559;0.327917;0.370758;0.307893;0.382495;0.290431;0.336256;0.370597;0.35173;0.349687;0.362871;0.335571;0.372681;0.322023
0.47979;0.21494;0.322615;0.413311;0.320702;0.389561;0.324046;0.371012;0.326312;0.358929;0.327989;0.353362;0.344351;0.345954;0.359114;0.319518;0.367595;0.299902;0.37482;0.283187;0.346575;0.351695;0.363782;0.322593;0.375601;0.300141;0.385441;0.280484;0.34797;0.361123;0.365852;0.335207;0.379073;0.316041;0.389409;0.300136;0.348564;0.374142;0.362594;0.35588;0.373016;0.342099;0.382199;0.329305
0.478232;0.215602;0.332171;0.394808;0.32448;0.373633;0.326067;0.359359;0.328568;0.347821;0.331504;0.337818;0.347339;0.328019;0.362852;0.304472;0.373206;0.289272;0.382665;0.276519;0.352611;0.331435;0.371972;0.302331;0.383928;0.283847;0.393426;0.26736;0.356076;0.33967;0.375066;0.315805;0.386788;0.299262;0.396055;0.285393;0.357846;0.35256;0.37362;0.336662;0.38334;0.323943;0.39085;0.311473
0.479038;0.216931;0.326991;0.382729;0.31875;0.366089;0.319376;0.356103;0.320778;0.347732;0.321457;0.339996;0.341739;0.323583;0.355894;0.301586;0.364569;0.286265;0.371889;0.272661;0.347301;0.325826;0.365373;0.298775;0.375879;0.279084;0.384232;0.261608;0.350395;0.332808;0.367724;0.309706;0.378178;0.291622;0.385971;0.276816;0.351884;0.343711;0.366438;0.328337;0.374949;0.315931;0.381292;0.305058
0.481672;0.217628;0.328741;0.352756;0.336433;0.31897;0.34731;0.297787;0.357063;0.281437;0.36377;0.268882;0.353392;0.301538;0.363501;0.284044;0.368462;0.270411;0.371557;0.259989;0.352289;0.30841;0.363426;0.289481;0.368984;0.274069;0.373338;0.259092;0.348746;0.316024;0.358113;0.300477;0.36277;0.286799;0.36578;0.274507;0.343288;0.324258;0.349517;0.314842;0.352591;0.305524;0.35504;0.297008
0.480508;0.220257;0.320494;0.340173;0.330917;0.308697;0.341816;0.287995;0.350975;0.273506;0.358474;0.261778;0.339805;0.28552;0.348535;0.268745;0.355175;0.256902;0.361669;0.246063;0.3395;0.292727;0.34959;0.273495;0.357114;0.260181;0.364433;0.246707;0.338184;0.303472;0.347769;0.28601;0.355221;0.2738;0.361744;0.26268;0.336878;0.317028;0.344643;0.308228;0.34925;0.30005;0.353797;0.292234;0.296283;0.419427;0.298843;0.391484;0.305069;0.366082;0.30842;0.347398;0.310546;0.334927;0.319912;0.33376;0.333274;0.299474;0.345834;0.277107;0.35743;0.258539;0.320423;0.336568;0.340239;0.294723;0.355327;0.266977;0.367038;0.242786;0.320937;0.343994;0.34051;0.306161;0.355917;0.279139;0.366952;0.25758;0.321613;0.355906;0.336587;0.326841;0.347636;0.308544;0.356853;0.292609
