face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.471569;0.264955;0.267706;0.76572;0.286863;0.745461;0.300027;0.721328;0.30968;0.704671;0.318172;0.687433;0.287811;0.711765;0.296578;0.68982;0.306549;0.677757;0.312972;0.667645;0.280255;0.720585;0.289493;0.702414;0.297868;0.693976;0.304555;0.682607;0.274686;0.733578;0.28562;0.721504;0.294684;0.714738;0.30069;0.706704;0.271211;0.747191;0.27896;0.730933;0.284914;0.72196;0.289807;0.714238;0.306004;0.551384;0.301747;0.511946;0.297668;0.467711;0.298592;0.433708;0.304695;0.402957;0.286082;0.438255;0.279037;0.39171;0.287941;0.362328;0.303531;0.338208;0.295645;0.4475;0.293311;0.397183;0.304849;0.365315;0.319911;0.338926;0.307513;0.461838;0.308945;0.419827;0.318557;0.390102;0.330564;0.367441;0.321219;0.482257;0.326601;0.456131;0.333399;0.433687;0.34074;0.41287
0.470961;0.273862;0.306754;0.545714;0.302076;0.507623;0.303246;0.472369;0.305483;0.443437;0.308615;0.412927;0.31029;0.432927;0.316301;0.394839;0.324174;0.370189;0.333737;0.348642;0.318097;0.439269;0.328337;0.395575;0.341131;0.370141;0.352736;0.348076;0.324577;0.452394;0.335876;0.414939;0.347612;0.389379;0.357353;0.367261;0.330435;0.472413;0.341066;0.449875;0.350352;0.433958;0.358198;0.416335
0.472621;0.272406;0.303504;0.525482;0.331276;0.49932;0.350502;0.473374;0.369304;0.452501;0.383581;0.433872;0.341455;0.434926;0.359414;0.408476;0.372541;0.387178;0.383667;0.367136;0.330382;0.424124;0.343075;0.39022;0.352078;0.364212;0.362251;0.340682;0.31747;0.421926;0.325894;0.386253;0.332146;0.362359;0.34051;0.342434;0.301128;0.426194;0.30152;0.401015;0.303048;0.378111;0.308459;0.358026;0.323935;0.46511;0.353675;0.470142;0.381003;0.454488;0.394955;0.432314;0.39632;0.411684;0.369785;0.383141;0.379877;0.335567;0.376476;0.355992;0.373276;0.380436;0.348958;0.376376;0.359869;0.325353;0.356228;0.349736;0.353906;0.373367;0.32873;0.376456;0.336406;0.331721;0.333291;0.352771;0.331401;0.374595;0.308694;0.382966;0.311497;0.347142;0.31249;0.360157;0.314382;0.378694
0.469718;0.27265;0.311554;0.459507;0.341069;0.45093;0.364003;0.428228;0.380295;0.410147;0.386306;0.398734;0.341572;0.376413;0.348949;0.341157;0.355064;0.344013;0.357099;0.352588;0.324702;0.374249;0.325792;0.332825;0.332647;0.330977;0.336129;0.336305;0.309283;0.383849;0.309454;0.349113;0.314634;0.345642;0.316594;0.348233;0.295832;0.401666;0.293048;0.384464;0.292875;0.375694;0.291301;0.370599
0.469675;0.282333;0.30595;0.460196;0.330335;0.435344;0.341215;0.411344;0.351512;0.38575;0.361036;0.365435;0.328936;0.378722;0.336022;0.346126;0.338166;0.335633;0.336782;0.330638;0.31909;0.377854;0.324466;0.345958;0.326062;0.333949;0.323885;0.328357;0.311689;0.385801;0.317056;0.361105;0.318401;0.351481;0.316882;0.347308;0.304958;0.396239;0.308891;0.381137;0.308633;0.373849;0.306311;0.369143;0.283509;0.449582;0.313302;0.427981;0.333354;0.399117;0.34194;0.378851;0.338922;0.365597;0.296437;0.335003;0.289941;0.291311;0.293662;0.305428;0.297108;0.326658;0.274688;0.342514;0.26179;0.291608;0.265904;0.309593;0.271373;0.330206;0.256703;0.355815;0.241344;0.313653;0.243921;0.326894;0.250742;0.342711;0.241706;0.376115;0.223208;0.353188;0.219907;0.354295;0.222108;0.359461
0.466853;0.283875;0.313211;0.435298;0.332309;0.40503;0.336682;0.389426;0.341428;0.372143;0.344104;0.351609;0.325748;0.392866;0.315795;0.37651;0.308332;0.370844;0.30149;0.368228;0.317451;0.4012;0.307175;0.384008;0.299271;0.377948;0.291887;0.377254;0.31049;0.408912;0.303435;0.392959;0.296262;0.387575;0.290485;0.386414;0.303802;0.415031;0.30161;0.406312;0.297613;0.400705;0.29452;0.396496;0.283041;0.453013;0.307536;0.424417;0.322604;0.398288;0.330528;0.369929;0.326726;0.353439;0.279459;0.35413;0.268768;0.314215;0.268054;0.308751;0.269607;0.316439;0.261736;0.362725;0.245663;0.317963;0.24654;0.31905;0.25096;0.329875;0.247317;0.376219;0.230424;0.33933;0.228931;0.337378;0.23315;0.343881;0.235423;0.394033;0.215522;0.371789;0.206613;0.360684;0.204483;0.35552
0.468717;0.283993;0.312169;0.435041;0.324309;0.425862;0.332915;0.411049;0.335653;0.397485;0.337008;0.38526;0.330646;0.397846;0.334656;0.383439;0.336962;0.377965;0.336372;0.375795;0.325171;0.400322;0.328567;0.386342;0.330714;0.380331;0.331354;0.377274;0.32042;0.406224;0.323156;0.394933;0.324296;0.389869;0.323803;0.388351;0.315997;0.413137;0.317312;0.406241;0.31787;0.402239;0.317223;0.40101;0.281649;0.47211;0.307239;0.437444;0.320936;0.406899;0.331733;0.383172;0.335586;0.361617;0.281205;0.354442;0.270014;0.313327;0.273921;0.310892;0.279337;0.322578;0.264095;0.362047;0.246305;0.315708;0.252891;0.319527;0.261037;0.334178;0.249927;0.375431;0.231956;0.332352;0.238313;0.332748;0.247645;0.344465;0.238295;0.393105;0.21743;0.365224;0.21016;0.350606;0.208846;0.343542
0.468943;0.27926;0.289545;0.482378;0.315869;0.457065;0.328939;0.427539;0.340003;0.405981;0.349439;0.384762;0.298927;0.359276;0.291609;0.318214;0.300999;0.312201;0.310124;0.323851;0.282982;0.36171;0.269889;0.313581;0.280706;0.31446;0.290804;0.330841;0.269039;0.373587;0.254498;0.329666;0.26362;0.328516;0.273422;0.3426;0.256288;0.392772;0.239923;0.362651;0.238025;0.350785;0.239249;0.348609
0.469059;0.277558;0.311628;0.454454;0.347655;0.452371;0.370895;0.435703;0.382591;0.417521;0.384638;0.404773;0.35263;0.367552;0.356621;0.313336;0.355535;0.331518;0.355876;0.356312;0.329609;0.362869;0.333365;0.301963;0.331755;0.324632;0.333065;0.351138;0.308791;0.364862;0.309051;0.311856;0.30703;0.331783;0.309103;0.356394;0.290022;0.373668;0.283434;0.335576;0.284045;0.343598;0.289159;0.361093
0.47156;0.273426;0.315505;0.481371;0.344268;0.478217;0.370494;0.466534;0.389716;0.449507;0.401467;0.429927;0.3556;0.414977;0.370438;0.380669;0.378968;0.361464;0.385884;0.34443;0.340125;0.406149;0.351208;0.36636;0.358711;0.343191;0.364617;0.323454;0.324002;0.405293;0.330926;0.364913;0.337702;0.343562;0.343852;0.326004;0.307403;0.409723;0.30654;0.376665;0.308798;0.35751;0.311818;0.341268
